Protein ID	Description	Peptides	Frames	Hits	Ratio AS-0/C-0	StDev	pValue	Fraction 1D_2D									
SP://E9Q223	E9Q223_MOUSE Hemoglobin subunit beta_1 (Fragment) OS=Mus musculus GN=Hbb_b1 PE=2 SV=1	2	2	4	0.028	0.008	3.06E-09	C_27_20
SP://E9Q223	E9Q223_MOUSE Hemoglobin subunit beta_1 (Fragment) OS=Mus musculus GN=Hbb_b1 PE=2 SV=1	2	2	3	0.27	0.004	2.63E-08	C_30_19
SP://E9Q223	E9Q223_MOUSE Hemoglobin subunit beta_1 (Fragment) OS=Mus musculus GN=Hbb_b1 PE=2 SV=1	1	1	1	0.466	0.05	2.74E-02	C_31_20
SP://E9Q223	E9Q223_MOUSE Hemoglobin subunit beta_1 (Fragment) OS=Mus musculus GN=Hbb_b1 PE=2 SV=1	2	2	3	0.27	0.022	1.56E-04	C_33_18
SP://E9Q223	E9Q223_MOUSE Hemoglobin subunit beta_1 (Fragment) OS=Mus musculus GN=Hbb_b1 PE=2 SV=1	4	5	13	0.082	0.003	5.55E-16	C_35_18
SP://E9Q223	E9Q223_MOUSE Hemoglobin subunit beta_1 (Fragment) OS=Mus musculus GN=Hbb_b1 PE=2 SV=1	1	1	2	0.114	0.008	3.55E-03	C_19_24
SP://E9Q223	E9Q223_MOUSE Hemoglobin subunit beta_1 (Fragment) OS=Mus musculus GN=Hbb_b1 PE=2 SV=1	5	6	20	0.214	0.004	9.90E-20	C_20_23
SP://E9Q223	E9Q223_MOUSE Hemoglobin subunit beta_1 (Fragment) OS=Mus musculus GN=Hbb_b1 PE=2 SV=1	3	3	5	0.085	0.007	2.15E-05	C_20_25
SP://E9Q223	E9Q223_MOUSE Hemoglobin subunit beta_1 (Fragment) OS=Mus musculus GN=Hbb_b1 PE=2 SV=1	6	7	20	0.163	0.004	9.90E-20	C_21_24
SP://E9Q223	E9Q223_MOUSE Hemoglobin subunit beta_1 (Fragment) OS=Mus musculus GN=Hbb_b1 PE=2 SV=1	6	6	22	0.616	0.012	9.90E-20	C_22_23
SP://E9Q223	E9Q223_MOUSE Hemoglobin subunit beta_1 (Fragment) OS=Mus musculus GN=Hbb_b1 PE=2 SV=1	4	4	7	0.113	0.01	1.44E-09	C_22_25
SP://E9Q223	E9Q223_MOUSE Hemoglobin subunit beta_1 (Fragment) OS=Mus musculus GN=Hbb_b1 PE=2 SV=1	5	6	19	0.255	0.009	7.39E-14	C_23_24
SP://E9Q223	E9Q223_MOUSE Hemoglobin subunit beta_1 (Fragment) OS=Mus musculus GN=Hbb_b1 PE=2 SV=1	4	6	10	0.016	0.001	1.47E-08	C_24_23
SP://E9Q223	E9Q223_MOUSE Hemoglobin subunit beta_1 (Fragment) OS=Mus musculus GN=Hbb_b1 PE=2 SV=1	3	4	9	0.151	0.005	1.76E-13	C_25_24
SP://E9Q223	E9Q223_MOUSE Hemoglobin subunit beta_1 (Fragment) OS=Mus musculus GN=Hbb_b1 PE=2 SV=1	5	6	15	0.388	0.009	9.90E-20	C_26_23
SP://E9Q223	E9Q223_MOUSE Hemoglobin subunit beta_1 (Fragment) OS=Mus musculus GN=Hbb_b1 PE=2 SV=1	1	1	1	0.197	0.003	1.05E-04	C_26_25
SP://E9Q223	E9Q223_MOUSE Hemoglobin subunit beta_1 (Fragment) OS=Mus musculus GN=Hbb_b1 PE=2 SV=1	1	1	2	0.251	0.064	9.30E-04	C_27_24
SP://E9Q223	E9Q223_MOUSE Hemoglobin subunit beta_1 (Fragment) OS=Mus musculus GN=Hbb_b1 PE=2 SV=1	1	1	1	0.446	0.1	2.14E-02	C_29_23
SP://E9Q223	E9Q223_MOUSE Hemoglobin subunit beta_1 (Fragment) OS=Mus musculus GN=Hbb_b1 PE=2 SV=1	1	1	1	0.049	0.07	2.93E-02	C_19_26
SP://E9Q223	E9Q223_MOUSE Hemoglobin subunit beta_1 (Fragment) OS=Mus musculus GN=Hbb_b1 PE=2 SV=1	2	2	2	0.277	0.027	2.02E-03	C_19_28
SP://E9Q223	E9Q223_MOUSE Hemoglobin subunit beta_1 (Fragment) OS=Mus musculus GN=Hbb_b1 PE=2 SV=1	1	1	1	0.069	0.051	1.85E-02	C_22_27
SP://E9Q223	E9Q223_MOUSE Hemoglobin subunit beta_1 (Fragment) OS=Mus musculus GN=Hbb_b1 PE=2 SV=1	1	1	3	0.419	0.05	2.83E-04	C_23_26
SP://E9Q223	E9Q223_MOUSE Hemoglobin subunit beta_1 (Fragment) OS=Mus musculus GN=Hbb_b1 PE=2 SV=1	1	1	2	0.516	0.005	1.28E-05	C_23_28
SP://E9Q223	E9Q223_MOUSE Hemoglobin subunit beta_1 (Fragment) OS=Mus musculus GN=Hbb_b1 PE=2 SV=1	1	1	2	0.451	0.057	2.40E-03	C_12_31
SP://E9Q223	E9Q223_MOUSE Hemoglobin subunit beta_1 (Fragment) OS=Mus musculus GN=Hbb_b1 PE=2 SV=1	2	2	2	0.301	0.026	4.09E-04	C_16_31
SP://E9Q223	E9Q223_MOUSE Hemoglobin subunit beta_1 (Fragment) OS=Mus musculus GN=Hbb_b1 PE=2 SV=1	3	4	6	0.018	0.002	5.15E-09	C_18_31
SP://E9Q223	E9Q223_MOUSE Hemoglobin subunit beta_1 (Fragment) OS=Mus musculus GN=Hbb_b1 PE=2 SV=1	1	1	2	0.457	0.03	8.13E-04	C_20_31
SP://E9Q223	E9Q223_MOUSE Hemoglobin subunit beta_1 (Fragment) OS=Mus musculus GN=Hbb_b1 PE=2 SV=1	2	3	4	0.036	0.003	1.51E-05	C_22_31
SP://E9Q223	E9Q223_MOUSE Hemoglobin subunit beta_1 (Fragment) OS=Mus musculus GN=Hbb_b1 PE=2 SV=1	3	3	4	0.43	0.016	9.54E-05	C_24_31
SP://E9Q2M4	E9Q2M4_MOUSE Protein Zfp867 OS=Mus musculus GN=Zfp867 PE=2 SV=1	1	1	1	2.62	0.098	7.67E-03	A_36_01
SP://E9Q2Q7	E9Q2Q7_MOUSE Serotransferrin (Fragment) OS=Mus musculus GN=Trf PE=2 SV=1	5	7	13	0.005	0	1.63E-13	A_17_02
SP://E9Q2Q7	E9Q2Q7_MOUSE Serotransferrin (Fragment) OS=Mus musculus GN=Trf PE=2 SV=1	1	1	2	3.343	0.482	5.33E-03	A_18_01
SP://E9Q2Q7	E9Q2Q7_MOUSE Serotransferrin (Fragment) OS=Mus musculus GN=Trf PE=2 SV=1	1	1	2	25.593	3.156	1.87E-03	A_20_01
SP://E9Q2Q7	E9Q2Q7_MOUSE Serotransferrin (Fragment) OS=Mus musculus GN=Trf PE=2 SV=1	1	1	2	3.428	0.287	4.58E-03	A_22_01
SP://E9Q2Q7	E9Q2Q7_MOUSE Serotransferrin (Fragment) OS=Mus musculus GN=Trf PE=2 SV=1	2	2	5	0.425	0.021	2.40E-05	A_24_01
SP://E9Q2Q7	E9Q2Q7_MOUSE Serotransferrin (Fragment) OS=Mus musculus GN=Trf PE=2 SV=1	2	3	15	1.155	0.006	1.13E-13	A_32_01
SP://E9Q2Q7	E9Q2Q7_MOUSE Serotransferrin (Fragment) OS=Mus musculus GN=Trf PE=2 SV=1	2	3	6	78.566	1.883	7.12E-02	A_33_00
SP://E9Q2Q7	E9Q2Q7_MOUSE Serotransferrin (Fragment) OS=Mus musculus GN=Trf PE=2 SV=1	3	5	29	1.508	0.02	9.90E-20	A_34_01
SP://E9Q2Q7	E9Q2Q7_MOUSE Serotransferrin (Fragment) OS=Mus musculus GN=Trf PE=2 SV=1	1	1	1	0.07	0.048	2.42E-03	A_36_00
SP://E9Q2Q7	E9Q2Q7_MOUSE Serotransferrin (Fragment) OS=Mus musculus GN=Trf PE=2 SV=1	3	4	25	2.717	0.038	9.90E-20	A_36_01
SP://E9Q2Q7	E9Q2Q7_MOUSE Serotransferrin (Fragment) OS=Mus musculus GN=Trf PE=2 SV=1	2	3	5	11.912	0.807	4.42E-05	A_38_00
SP://E9Q2Q7	E9Q2Q7_MOUSE Serotransferrin (Fragment) OS=Mus musculus GN=Trf PE=2 SV=1	1	1	2	0	0	0.00E+00	A_38_01
SP://E9Q2Q7	E9Q2Q7_MOUSE Serotransferrin (Fragment) OS=Mus musculus GN=Trf PE=2 SV=1	1	1	1	2.023	0.017	5.14E-03	A_23_02
SP://E9Q2Q7	E9Q2Q7_MOUSE Serotransferrin (Fragment) OS=Mus musculus GN=Trf PE=2 SV=1	1	1	1	0.913	0.008	2.77E-02	A_31_02
SP://E9Q2Q7	E9Q2Q7_MOUSE Serotransferrin (Fragment) OS=Mus musculus GN=Trf PE=2 SV=1	2	2	8	13.883	0.434	1.60E-08	A_33_02
SP://E9Q2Q7	E9Q2Q7_MOUSE Serotransferrin (Fragment) OS=Mus musculus GN=Trf PE=2 SV=1	1	1	2	99999.9	99999.9	2.40E-09	A_33_04
SP://E9Q2Q7	E9Q2Q7_MOUSE Serotransferrin (Fragment) OS=Mus musculus GN=Trf PE=2 SV=1	3	4	20	2.215	0.126	9.90E-20	A_34_03
SP://E9Q2Q7	E9Q2Q7_MOUSE Serotransferrin (Fragment) OS=Mus musculus GN=Trf PE=2 SV=1	1	1	5	0.763	0.051	8.07E-05	A_35_02
SP://E9Q2Q7	E9Q2Q7_MOUSE Serotransferrin (Fragment) OS=Mus musculus GN=Trf PE=2 SV=1	1	1	1	1.539	0.219	3.81E-02	A_39_02
SP://E9Q2Q7	E9Q2Q7_MOUSE Serotransferrin (Fragment) OS=Mus musculus GN=Trf PE=2 SV=1	3	3	9	0.3	0.018	2.24E-14	A_19_21
SP://E9Q2Q7	E9Q2Q7_MOUSE Serotransferrin (Fragment) OS=Mus musculus GN=Trf PE=2 SV=1	2	2	7	1.622	0.14	8.94E-05	A_21_21
SP://E9Q2Q7	E9Q2Q7_MOUSE Serotransferrin (Fragment) OS=Mus musculus GN=Trf PE=2 SV=1	1	1	2	2.553	0.815	6.25E-03	A_22_20
SP://E9Q2Q7	E9Q2Q7_MOUSE Serotransferrin (Fragment) OS=Mus musculus GN=Trf PE=2 SV=1	2	2	3	0.801	0.035	6.20E-06	A_24_20
SP://E9Q2Q7	E9Q2Q7_MOUSE Serotransferrin (Fragment) OS=Mus musculus GN=Trf PE=2 SV=1	6	8	19	8.376	0.957	9.90E-20	A_29_19
SP://E9Q2Q7	E9Q2Q7_MOUSE Serotransferrin (Fragment) OS=Mus musculus GN=Trf PE=2 SV=1	2	2	6	0.3	0.014	4.58E-05	A_31_19
SP://E9Q2Q7	E9Q2Q7_MOUSE Serotransferrin (Fragment) OS=Mus musculus GN=Trf PE=2 SV=1	3	3	7	92.44	106.929	1.69E-12	A_32_20
SP://E9Q2Q7	E9Q2Q7_MOUSE Serotransferrin (Fragment) OS=Mus musculus GN=Trf PE=2 SV=1	1	1	1	8.464	3.561	3.33E-03	A_20_26
SP://E9Q2Q7	E9Q2Q7_MOUSE Serotransferrin (Fragment) OS=Mus musculus GN=Trf PE=2 SV=1	1	2	2	99999.9	70710.607	2.40E-09	A_23_25
SP://E9Q2Q7	E9Q2Q7_MOUSE Serotransferrin (Fragment) OS=Mus musculus GN=Trf PE=2 SV=1	4	6	35	0.672	0.007	9.90E-20	A_25_25
SP://E9Q2Q7	E9Q2Q7_MOUSE Serotransferrin (Fragment) OS=Mus musculus GN=Trf PE=2 SV=1	1	1	3	2.368	0.329	2.69E-03	B_30_01
SP://E9Q2Q7	E9Q2Q7_MOUSE Serotransferrin (Fragment) OS=Mus musculus GN=Trf PE=2 SV=1	1	1	1	0.011	0.017	1.55E-02	B_31_02
SP://E9Q2Q7	E9Q2Q7_MOUSE Serotransferrin (Fragment) OS=Mus musculus GN=Trf PE=2 SV=1	1	1	2	496.566	703.817	2.44E-09	B_31_04
SP://E9Q2Q7	E9Q2Q7_MOUSE Serotransferrin (Fragment) OS=Mus musculus GN=Trf PE=2 SV=1	7	8	38	1.857	0.026	9.90E-20	B_32_01
SP://E9Q2Q7	E9Q2Q7_MOUSE Serotransferrin (Fragment) OS=Mus musculus GN=Trf PE=2 SV=1	3	4	13	0.194	0.004	1.58E-11	B_32_03
SP://E9Q2Q7	E9Q2Q7_MOUSE Serotransferrin (Fragment) OS=Mus musculus GN=Trf PE=2 SV=1	5	5	17	0.965	0.011	3.34E-12	B_33_02
SP://E9Q2Q7	E9Q2Q7_MOUSE Serotransferrin (Fragment) OS=Mus musculus GN=Trf PE=2 SV=1	4	5	13	0.127	0.008	1.89E-09	B_33_04
SP://E9Q2Q7	E9Q2Q7_MOUSE Serotransferrin (Fragment) OS=Mus musculus GN=Trf PE=2 SV=1	4	4	18	0.384	0.012	1.86E-11	B_34_01
SP://E9Q2Q7	E9Q2Q7_MOUSE Serotransferrin (Fragment) OS=Mus musculus GN=Trf PE=2 SV=1	1	1	3	0.358	0.051	1.35E-03	B_34_03
SP://E9Q2Q7	E9Q2Q7_MOUSE Serotransferrin (Fragment) OS=Mus musculus GN=Trf PE=2 SV=1	1	1	6	0.727	0.008	2.17E-07	B_35_02
SP://E9Q2Q7	E9Q2Q7_MOUSE Serotransferrin (Fragment) OS=Mus musculus GN=Trf PE=2 SV=1	2	2	7	0.679	0.054	5.09E-06	B_36_03
SP://E9Q2Q7	E9Q2Q7_MOUSE Serotransferrin (Fragment) OS=Mus musculus GN=Trf PE=2 SV=1	1	1	6	0.761	0.083	2.31E-04	B_37_02
SP://E9Q2Q7	E9Q2Q7_MOUSE Serotransferrin (Fragment) OS=Mus musculus GN=Trf PE=2 SV=1	1	1	1	0.021	0.008	4.02E-02	B_33_14
SP://E9Q2Q7	E9Q2Q7_MOUSE Serotransferrin (Fragment) OS=Mus musculus GN=Trf PE=2 SV=1	1	2	7	0.379	0.019	3.55E-06	B_35_10
SP://E9Q2Q7	E9Q2Q7_MOUSE Serotransferrin (Fragment) OS=Mus musculus GN=Trf PE=2 SV=1	1	1	3	0.249	0.056	2.90E-05	B_35_14
SP://E9Q2Q7	E9Q2Q7_MOUSE Serotransferrin (Fragment) OS=Mus musculus GN=Trf PE=2 SV=1	1	1	4	99999.9	99999.9	2.22E-16	B_21_18
SP://E9Q2Q7	E9Q2Q7_MOUSE Serotransferrin (Fragment) OS=Mus musculus GN=Trf PE=2 SV=1	2	2	2	0.429	0.048	1.22E-03	B_23_18
SP://E9Q2Q7	E9Q2Q7_MOUSE Serotransferrin (Fragment) OS=Mus musculus GN=Trf PE=2 SV=1	1	1	1	0.431	0.061	4.51E-02	B_37_16
SP://E9Q2Q7	E9Q2Q7_MOUSE Serotransferrin (Fragment) OS=Mus musculus GN=Trf PE=2 SV=1	2	2	4	0.682	0.091	3.91E-10	B_37_18
SP://E9Q2Q7	E9Q2Q7_MOUSE Serotransferrin (Fragment) OS=Mus musculus GN=Trf PE=2 SV=1	1	1	1	99999.9	99999.9	1.00E-05	B_22_21
SP://E9Q2Q7	E9Q2Q7_MOUSE Serotransferrin (Fragment) OS=Mus musculus GN=Trf PE=2 SV=1	2	2	9	1.051	0.037	1.57E-06	B_24_21
SP://E9Q2Q7	E9Q2Q7_MOUSE Serotransferrin (Fragment) OS=Mus musculus GN=Trf PE=2 SV=1	1	1	6	0.694	0.079	2.52E-05	B_25_22
SP://E9Q2Q7	E9Q2Q7_MOUSE Serotransferrin (Fragment) OS=Mus musculus GN=Trf PE=2 SV=1	1	1	1	0.311	0.058	9.39E-03	B_27_22
SP://E9Q2Q7	E9Q2Q7_MOUSE Serotransferrin (Fragment) OS=Mus musculus GN=Trf PE=2 SV=1	3	4	13	0.359	0.01	5.70E-13	B_09_24
SP://E9Q2Q7	E9Q2Q7_MOUSE Serotransferrin (Fragment) OS=Mus musculus GN=Trf PE=2 SV=1	1	1	1	6.371	0.565	1.87E-02	B_10_25
SP://E9Q2Q7	E9Q2Q7_MOUSE Serotransferrin (Fragment) OS=Mus musculus GN=Trf PE=2 SV=1	1	1	2	5.724	1.183	1.09E-04	B_33_24
SP://E9Q2Q7	E9Q2Q7_MOUSE Serotransferrin (Fragment) OS=Mus musculus GN=Trf PE=2 SV=1	1	1	2	4.832	0.175	2.08E-03	C_17_02
SP://E9Q2Q7	E9Q2Q7_MOUSE Serotransferrin (Fragment) OS=Mus musculus GN=Trf PE=2 SV=1	1	1	1	1.608	0.118	5.74E-03	C_18_01
SP://E9Q2Q7	E9Q2Q7_MOUSE Serotransferrin (Fragment) OS=Mus musculus GN=Trf PE=2 SV=1	1	2	13	2.349	0.03	9.90E-20	C_31_01
SP://E9Q2Q7	E9Q2Q7_MOUSE Serotransferrin (Fragment) OS=Mus musculus GN=Trf PE=2 SV=1	5	9	18	0.093	0.002	9.90E-20	C_33_01
SP://E9Q2Q7	E9Q2Q7_MOUSE Serotransferrin (Fragment) OS=Mus musculus GN=Trf PE=2 SV=1	6	8	37	0.328	0.01	9.90E-20	C_34_02
SP://E9Q2Q7	E9Q2Q7_MOUSE Serotransferrin (Fragment) OS=Mus musculus GN=Trf PE=2 SV=1	3	4	24	0.532	0.005	9.90E-20	C_35_01
SP://E9Q2Q7	E9Q2Q7_MOUSE Serotransferrin (Fragment) OS=Mus musculus GN=Trf PE=2 SV=1	1	1	2	0	0	0.00E+00	C_36_00
SP://E9Q2Q7	E9Q2Q7_MOUSE Serotransferrin (Fragment) OS=Mus musculus GN=Trf PE=2 SV=1	2	3	10	0.054	0.004	8.39E-11	C_36_02
SP://E9Q2Q7	E9Q2Q7_MOUSE Serotransferrin (Fragment) OS=Mus musculus GN=Trf PE=2 SV=1	1	2	10	0.26	0.002	2.26E-12	C_37_01
SP://E9Q2Q7	E9Q2Q7_MOUSE Serotransferrin (Fragment) OS=Mus musculus GN=Trf PE=2 SV=1	1	1	1	0.51	0.094	4.29E-02	C_39_01
SP://E9Q2Q7	E9Q2Q7_MOUSE Serotransferrin (Fragment) OS=Mus musculus GN=Trf PE=2 SV=1	2	2	8	2.362	0.117	1.34E-05	C_32_04
SP://E9Q2Q7	E9Q2Q7_MOUSE Serotransferrin (Fragment) OS=Mus musculus GN=Trf PE=2 SV=1	1	1	6	1.464	0.046	2.03E-08	C_32_11
SP://E9Q2Q7	E9Q2Q7_MOUSE Serotransferrin (Fragment) OS=Mus musculus GN=Trf PE=2 SV=1	1	1	1	2.627	0.2	8.00E-03	C_33_08
SP://E9Q2Q7	E9Q2Q7_MOUSE Serotransferrin (Fragment) OS=Mus musculus GN=Trf PE=2 SV=1	1	1	4	0.643	0.005	1.83E-06	C_34_04
SP://E9Q2Q7	E9Q2Q7_MOUSE Serotransferrin (Fragment) OS=Mus musculus GN=Trf PE=2 SV=1	1	2	8	0.168	0.008	3.91E-09	C_37_03
SP://E9Q2Q7	E9Q2Q7_MOUSE Serotransferrin (Fragment) OS=Mus musculus GN=Trf PE=2 SV=1	2	2	8	1.389	0.03	7.27E-09	C_12_24
SP://E9Q2Q7	E9Q2Q7_MOUSE Serotransferrin (Fragment) OS=Mus musculus GN=Trf PE=2 SV=1	9	12	35	0.008	0	9.90E-20	C_12_25
SP://E9Q2Q7	E9Q2Q7_MOUSE Serotransferrin (Fragment) OS=Mus musculus GN=Trf PE=2 SV=1	1	1	2	0	0	0.00E+00	C_21_22
SP://E9Q2Q7	E9Q2Q7_MOUSE Serotransferrin (Fragment) OS=Mus musculus GN=Trf PE=2 SV=1	3	4	8	1	0.027	1.00E+00	C_23_22
SP://E9Q2Q7	E9Q2Q7_MOUSE Serotransferrin (Fragment) OS=Mus musculus GN=Trf PE=2 SV=1	1	1	1	0.514	0.103	2.01E-02	C_25_20
SP://E9Q2Q7	E9Q2Q7_MOUSE Serotransferrin (Fragment) OS=Mus musculus GN=Trf PE=2 SV=1	1	1	3	0.626	0.026	4.68E-03	C_27_20
SP://E9Q2Q7	E9Q2Q7_MOUSE Serotransferrin (Fragment) OS=Mus musculus GN=Trf PE=2 SV=1	6	8	35	2.07	0.028	9.90E-20	C_31_18
SP://E9Q2Q7	E9Q2Q7_MOUSE Serotransferrin (Fragment) OS=Mus musculus GN=Trf PE=2 SV=1	2	3	9	0.441	0.009	7.64E-10	C_33_18
SP://E9Q2Q7	E9Q2Q7_MOUSE Serotransferrin (Fragment) OS=Mus musculus GN=Trf PE=2 SV=1	2	2	10	0.121	0.004	1.43E-08	C_35_18
SP://E9Q2Q7	E9Q2Q7_MOUSE Serotransferrin (Fragment) OS=Mus musculus GN=Trf PE=2 SV=1	1	1	3	0.417	0.073	2.06E-04	C_36_21
SP://E9Q2Q7	E9Q2Q7_MOUSE Serotransferrin (Fragment) OS=Mus musculus GN=Trf PE=2 SV=1	1	1	1	0.368	0.012	1.35E-02	C_37_20
SP://E9Q2Q7	E9Q2Q7_MOUSE Serotransferrin (Fragment) OS=Mus musculus GN=Trf PE=2 SV=1	3	3	5	0.159	0.01	2.95E-05	C_19_24
SP://E9Q2Q7	E9Q2Q7_MOUSE Serotransferrin (Fragment) OS=Mus musculus GN=Trf PE=2 SV=1	3	3	8	0.917	0.021	5.30E-10	C_21_24
SP://E9Q2Q7	E9Q2Q7_MOUSE Serotransferrin (Fragment) OS=Mus musculus GN=Trf PE=2 SV=1	3	4	19	0.533	0.007	9.90E-20	C_22_23
SP://E9Q2Q7	E9Q2Q7_MOUSE Serotransferrin (Fragment) OS=Mus musculus GN=Trf PE=2 SV=1	5	8	33	2.242	0.036	9.90E-20	C_23_24
SP://E9Q2Q7	E9Q2Q7_MOUSE Serotransferrin (Fragment) OS=Mus musculus GN=Trf PE=2 SV=1	5	6	31	0.118	0.002	9.90E-20	C_24_23
SP://E9Q2Q7	E9Q2Q7_MOUSE Serotransferrin (Fragment) OS=Mus musculus GN=Trf PE=2 SV=1	3	3	8	0.323	0.036	1.63E-08	C_25_24
SP://E9Q2Q7	E9Q2Q7_MOUSE Serotransferrin (Fragment) OS=Mus musculus GN=Trf PE=2 SV=1	5	6	15	0.043	0.002	2.00E-15	C_26_23
SP://E9Q2Q7	E9Q2Q7_MOUSE Serotransferrin (Fragment) OS=Mus musculus GN=Trf PE=2 SV=1	2	2	2	5.547	1.156	1.39E-03	C_30_22
SP://E9Q2Q7	E9Q2Q7_MOUSE Serotransferrin (Fragment) OS=Mus musculus GN=Trf PE=2 SV=1	5	5	21	4.031	0.136	9.90E-20	C_32_22
SP://E9Q2Q7	E9Q2Q7_MOUSE Serotransferrin (Fragment) OS=Mus musculus GN=Trf PE=2 SV=1	1	1	2	99999.9	99999.9	2.40E-09	C_35_23
SP://E9Q2Q7	E9Q2Q7_MOUSE Serotransferrin (Fragment) OS=Mus musculus GN=Trf PE=2 SV=1	1	1	2	0.66	0.077	7.74E-03	C_10_31
SP://E9Q2Q7	E9Q2Q7_MOUSE Serotransferrin (Fragment) OS=Mus musculus GN=Trf PE=2 SV=1	4	4	11	0.158	0.004	1.85E-14	C_12_31
SP://E9Q2Q7	E9Q2Q7_MOUSE Serotransferrin (Fragment) OS=Mus musculus GN=Trf PE=2 SV=1	4	5	12	0.328	0.003	4.46E-13	C_18_31
SP://E9Q2Q7	E9Q2Q7_MOUSE Serotransferrin (Fragment) OS=Mus musculus GN=Trf PE=2 SV=1	2	2	6	1.363	0.044	1.20E-04	C_20_31
SP://E9Q357	E9Q357_MOUSE Protein Gm17673 OS=Mus musculus GN=Gm17673 PE=4 SV=2	1	1	1	1.588	0.199	2.19E-02	A_29_19
SP://E9Q414	APOB_MOUSE Apolipoprotein B_100 OS=Mus musculus GN=Apob PE=1 SV=1	1	1	1	0	0	0.00E+00	A_09_02
SP://E9Q414	APOB_MOUSE Apolipoprotein B_100 OS=Mus musculus GN=Apob PE=1 SV=1	3	3	6	3.256	0.208	2.12E-10	A_10_01
SP://E9Q414	APOB_MOUSE Apolipoprotein B_100 OS=Mus musculus GN=Apob PE=1 SV=1	2	2	3	17.643	8.743	9.85E-04	B_10_23
SP://E9Q414	APOB_MOUSE Apolipoprotein B_100 OS=Mus musculus GN=Apob PE=1 SV=1	2	2	4	136.208	194.669	1.56E-12	B_07_31
SP://E9Q414	APOB_MOUSE Apolipoprotein B_100 OS=Mus musculus GN=Apob PE=1 SV=1	5	5	7	4.14	0.133	4.94E-08	C_07_02
SP://E9Q414	APOB_MOUSE Apolipoprotein B_100 OS=Mus musculus GN=Apob PE=1 SV=1	2	2	2	3.366	0.543	6.29E-06	C_08_01
SP://E9Q414	APOB_MOUSE Apolipoprotein B_100 OS=Mus musculus GN=Apob PE=1 SV=1	3	4	8	7.488	0.403	4.99E-12	C_09_02
SP://E9Q414	APOB_MOUSE Apolipoprotein B_100 OS=Mus musculus GN=Apob PE=1 SV=1	1	1	2	4.032	0.431	5.61E-04	C_10_01
SP://E9Q4G4	E9Q4G4_MOUSE Apolipoprotein B_100 (Fragment) OS=Mus musculus GN=Apob PE=2 SV=1	1	1	1	0.009	0.013	4.70E-02	A_09_02
SP://E9Q4G4	E9Q4G4_MOUSE Apolipoprotein B_100 (Fragment) OS=Mus musculus GN=Apob PE=4 SV=1	1	1	1	11.196	2.534	1.87E-03	B_07_31
SP://E9Q4G4	E9Q4G4_MOUSE Apolipoprotein B_100 (Fragment) OS=Mus musculus GN=Apob PE=2 SV=1	1	1	1	4.776	0.281	1.68E-04	C_07_02
SP://E9Q4G4	E9Q4G4_MOUSE Apolipoprotein B_100 (Fragment) OS=Mus musculus GN=Apob PE=2 SV=1	1	1	2	5.707	0.218	5.45E-05	C_10_01
SP://E9Q5F4	E9Q5F4_MOUSE Actin_ cytoplasmic 1 (Fragment) OS=Mus musculus GN=Actb PE=2 SV=1	1	1	2	99999.9	99999.9	2.40E-09	A_21_31
SP://E9Q5F4	E9Q5F4_MOUSE Actin_ cytoplasmic 1 (Fragment) OS=Mus musculus GN=Actb PE=2 SV=1	1	1	4	1.757	0.325	4.56E-04	B_28_23
SP://E9Q5F4	E9Q5F4_MOUSE Actin_ cytoplasmic 1 (Fragment) OS=Mus musculus GN=Actb PE=2 SV=1	1	1	1	0.238	0.037	1.83E-02	C_18_31
SP://E9Q5L2	E9Q5L2_MOUSE Inter alpha_trypsin inhibitor_ heavy chain 4 OS=Mus musculus GN=Itih4 PE=2 SV=1	1	1	2	1.678	0.066	3.28E-03	A_16_01
SP://E9Q5L2	E9Q5L2_MOUSE Inter alpha_trypsin inhibitor_ heavy chain 4 OS=Mus musculus GN=Itih4 PE=2 SV=1	2	2	4	0.315	0.015	4.22E-04	A_17_02
SP://E9Q5L2	E9Q5L2_MOUSE Inter alpha_trypsin inhibitor_ heavy chain 4 OS=Mus musculus GN=Itih4 PE=2 SV=1	1	1	2	0.354	0.067	8.53E-03	A_22_01
SP://E9Q5L2	E9Q5L2_MOUSE Inter alpha_trypsin inhibitor_ heavy chain 4 OS=Mus musculus GN=Itih4 PE=2 SV=1	2	2	3	0.318	0.014	8.15E-05	A_24_01
SP://E9Q5L2	E9Q5L2_MOUSE Inter alpha_trypsin inhibitor_ heavy chain 4 OS=Mus musculus GN=Itih4 PE=2 SV=1	1	1	1	2.033	0.084	3.14E-02	A_21_02
SP://E9Q5L2	E9Q5L2_MOUSE Inter alpha_trypsin inhibitor_ heavy chain 4 OS=Mus musculus GN=Itih4 PE=2 SV=1	1	1	1	11.952	5.97	1.05E-02	A_35_07
SP://E9Q5L2	E9Q5L2_MOUSE Inter alpha_trypsin inhibitor_ heavy chain 4 OS=Mus musculus GN=Itih4 PE=2 SV=1	2	2	3	6.707	1.366	4.24E-10	A_23_19
SP://E9Q5L2	E9Q5L2_MOUSE Inter alpha_trypsin inhibitor_ heavy chain 4 OS=Mus musculus GN=Itih4 PE=2 SV=1	4	4	6	4.119	0.812	5.27E-08	A_24_20
SP://E9Q5L2	E9Q5L2_MOUSE Inter alpha_trypsin inhibitor_ heavy chain 4 OS=Mus musculus GN=Itih4 PE=2 SV=1	6	7	24	2.653	0.111	9.90E-20	A_25_19
