"con1"	"con2"	"con3"	"con4"	"d2_1"	"d2_2"	"d2_3"	"d2_4"	"d4_1"	"d4_2"	"d4_3"	"d4_4"	"Only.identified.by.site"	"Reverse"	"Potential.contaminant"	"t.test.Significantcon_2d"	"t.test.Significantcon_4d"	"matrix31"	"Q.value"	"Intensity"	"MS.MS.Count"	"X.Log.t.test.p.valuecon_2d"	"t.test.Differencecon_2d"	"X.Log.t.test.p.valuecon_4d"	"t.test.Differencecon_4d"	"Test.statistic_"	"Protein.IDs"	"Majority.protein.IDs"	"Protein.names"	"Gene.names"	"Gene_name"	"ProteinID"	"con_mean"	"d2_mean"	"ttest_con_d2_pval"	"d4_mean"	"ttest_con_d4_pval"	"ttest_con_d2_fdr"	"ttest_con_d4_fdr"
"802"	-3.390404	-2.239614	-3.330364	-3.104311	-3.195452	-1.735323	-2.820032	-2.081963	-3.87224	-3.310877	-2.848206	-3.294357	""	""	""	""	""	""	"0.00043554"	"219240000"	"4"	"0.621301177494817"	"-0.557981014251709"	"0.411149393716973"	"0.31524646282196"	"0.235470966667909"	"D3ZWS0"	"D3ZWS0"	""	"Scrib"	"Scrib"	"D3ZWS0"	-3.01617325	-2.4581925	0.241436224287023	-3.33142	0.389886032739379	0.696202215855773	0.941075218370869
"803"	0.5324039	-0.5455227	-0.1768684	1.89819	-1.543785	0.2956333	-1.251698	-0.1072998	-2.091755	0.1421337	-1.739176	-1.028841	""	""	""	""	""	""	"0"	"2071000000"	"18"	"0.762420361596859"	"1.07883787155151"	"1.15402563790275"	"1.6064600944519"	"0.928405115051605"	"P31399;D3ZWT8"	"P31399;D3ZWT8"	"ATP synthase subunit d, mitochondrial"	"Atp5h"	"Atp5h"	"P31399"	0.4270507	-0.651787375	0.174668315896115	-1.179409575	0.0704979864342208	0.65348130248753	0.760917847364041
"804"	-2.410269	-1.654949	-0.932127	-2.186014	-1.637169	-1.861605	-1.868273	-2.024334	-1.790487	-2.155781	-2.315104	-2.027945	""	""	""	""	""	""	"0.0022962"	"444380000"	"3"	"0.0541386105923899"	"0.0520052909851074"	"0.341382457593819"	"0.2764892578125"	"0.205299440755244"	"D3ZWZ6;Q7TP50;A0A0G2K0Y2"	"D3ZWZ6;Q7TP50;A0A0G2K0Y2"	""	"Igf2bp2;Igf2bp3"	"Igf2bp2"	"D3ZWZ6"	-1.79583975	-1.84784525	0.88655878040624	-2.07232925	0.473596269962929	0.973724715855426	0.941075218370869
"805"	-0.5076332	-1.590164	-1.523983	-1.014296	-0.6632004	-0.1514969	0.002542496	0.0755043	0.07099152	-1.158478	-0.4601173	-0.6829987	""	""	""	""	""	""	"0"	"1282700000"	"14"	"1.74361835623427"	"-0.974856376647949"	"0.839109881226553"	"-0.601368427276611"	"-0.442539402980584"	"D3ZX38"	"D3ZX38"	""	"Pfdn1"	"Pfdn1"	"D3ZX38"	-1.15901905	-0.184162626	0.0221142028481364	-0.55765062	0.144846590351713	0.410153305892389	0.83327084389501
"806"	-2.574036	-1.193218	-1.036081	-2.4851	-1.159628	-1.607731	-3.539196	-2.036392	-4.555299	-0.9559727	-1.580696	-1.751978	""	""	""	""	""	""	"0"	"475380000"	"5"	"0.152924568738319"	"0.26362806558609"	"0.167219891105395"	"0.388877630233765"	"0.204786732068842"	"D3ZX42"	"D3ZX42"	""	"Rabgap1"	"Rabgap1"	"D3ZX42"	-1.82210875	-2.08573675	0.703881984724843	-2.210986425	0.685351193919951	0.89872688948887	0.963637905671656
"807"	-0.2599754	1.050055	1.17942	0.4048729	-0.05630112	1.039223	1.573311	0.649538	-0.7128353	1.656441	-1.005318	-0.2697239	""	""	""	""	""	""	"0"	"2751100000"	"15"	"0.168724247120946"	"-0.207849502563477"	"0.44220289323504"	"0.676452159881592"	"0.401557841620162"	"D3ZXF9"	"D3ZXF9"	""	"Mrpl12"	"Mrpl12"	"D3ZXF9"	0.593593125	0.80144272	0.678089849761815	-0.08285905	0.371415698816664	0.882040715170307	0.941075218370869
"808"	-0.2294807	-0.6640797	-0.4908772	-0.2821236	-0.6442566	-0.02223969	-0.165947	1.004446	-0.6952267	-0.6043568	0.09415817	-1.095823	""	""	""	""	""	""	"0"	"1756200000"	"22"	"0.601853032373533"	"-0.459640979766846"	"0.241269028144776"	"0.158671855926514"	"0.12525377108573"	"D3ZXH7"	"D3ZXH7"	""	"Thoc4"	"Thoc4"	"D3ZXH7"	-0.4166403	0.0430006775	0.281113095122187	-0.5753120825	0.584394345191624	0.713222352209898	0.950957378226993
"809"	-0.9459286	-0.6407299	0.7938175	0.07544136	0.8392506	0.3740025	0.7744236	0.8416824	0.457819	0.5893536	0.3640041	-0.4375763	""	""	""	""	""	""	"0"	"2311800000"	"25"	"1.14948354159581"	"-0.88668966293335"	"0.41322167863579"	"-0.422749996185303"	"-0.29106197549751"	"D3ZXK4"	"D3ZXK4"	""	"Abhd11"	"Abhd11"	"D3ZXK4"	-0.17934991	0.707339775	0.10325490515747	0.2434001	0.393890012311064	0.594622847684331	0.941075218370869
"810"	5.177082	2.895695	3.227797	5.453276	3.560226	3.861891	3.004904	4.40589	4.083393	1.792925	4.818327	2.608871	""	""	""	""	""	""	"0"	"37028000000"	"151"	"0.276665527476158"	"0.480234622955322"	"0.399004725503516"	"0.862583160400391"	"0.442285436013051"	"P85973;D3ZXK9"	"P85973;D3ZXK9"	"Purine nucleoside phosphorylase"	"Pnp"	"Pnp"	"P85973"	4.1884625	3.70822775	0.539362824558887	3.325879	0.399089947943871	0.814921908644421	0.941075218370869
"811"	1.928675	2.103504	1.615906	3.017622	2.561926	2.409834	2.759363	2.630249	1.392481	1.16328	1.735115	1.446072	""	""	""	""	""	""	"0"	"8672000000"	"48"	"0.657157003110796"	"-0.423916339874268"	"1.1931330309794"	"0.732189655303955"	"0.553324947587718"	"D3ZXQ0;M0R8J8;F7F3M3;D3ZP14;P16303"	"D3ZXQ0"	""	"Ces2g"	"Ces2g"	"D3ZXQ0"	2.16642675	2.590343	0.255768450340244	1.434237	0.0880199574287945	0.700983997037157	0.771238065649326
"812"	-2.638966	-2.630978	-2.703402	-1.928473	-2.494429	-2.427742	-2.208197	-1.920938	-3.233744	-0.4996567	-2.348717	-2.662891	""	""	""	""	""	""	"0"	"426270000"	"5"	"0.420902994459006"	"-0.21262788772583"	"0.182553221117139"	"-0.289202213287354"	"-0.178633396310574"	"D3ZXS8"	"D3ZXS8"	""	"Ube2k"	"Ube2k"	"D3ZXS8"	-2.47545475	-2.2628265	0.383285408984373	-2.186252175	0.667407792314172	0.765125436899899	0.963637905671656
"813"	3.658852	4.213295	4.125015	3.996691	4.545969	4.387531	4.930548	4.955832	3.550825	4.385889	4.474386	3.702625	""	""	""	""	""	""	"0"	"37068000000"	"171"	"2.0413681124093"	"-0.706506729125977"	"0.0393244284320614"	"-0.02996826171875"	"-0.0237029618418011"	"D3ZXY4"	"D3ZXY4"	""	"Aldh8a1"	"Aldh8a1"	"D3ZXY4"	3.99846325	4.70497	0.00947472405468709	4.02843125	0.91461127212141	0.303222820923065	0.979033811709225
"814"	-2.58308	-4.190814	-2.261997	-3.179153	-3.175494	-2.554174	-2.541061	-2.98155	-2.950644	-3.032588	-2.272705	-4.118427	""	""	""	""	""	""	"0"	"198400000"	"2"	"0.211870033619617"	"-0.240691244602203"	"0.02383009297083"	"0.0398295521736145"	"0.0253614214942496"	"D3ZY02"	"D3ZY02"	""	"Athl1"	"Athl1"	"D3ZY02"	-3.053761	-2.81306975	0.624252577410195	-3.093591	0.946630951463512	0.858084632926425	0.989888710115127
"815"	-1.618713	-0.590641	-1.334988	-1.820061	-0.7536774	-1.024801	-0.1174927	-0.8512268	-1.520906	-0.2229252	-0.8756561	-1.385921	""	""	""	""	""	""	"0.00042589"	"875350000"	"13"	"1.00912388916175"	"-0.654301166534424"	"0.36953781995115"	"-0.339748382568359"	"-0.242871462843864"	"D3ZY71"	"D3ZY71"	""	"LOC100910137"	"LOC100910137"	"D3ZY71"	-1.34110075	-0.686799475	0.102201719109371	-1.001352075	0.427281133942562	0.594622847684331	0.941075218370869
"816"	2.150583	-1.421389	-1.415569	0.1676311	-0.6902504	-0.5520687	-0.8942413	-0.1492958	-4.585692	-1.237909	-2.185759	-3.512823	""	""	""	""	""	""	"0"	"2002300000"	"18"	"0.203127323567767"	"0.441778182983398"	"1.30427903467646"	"2.75085991621017"	"1.29654099166686"	"D3ZY91"	"D3ZY91"	""	"Clic3"	"Clic3"	"D3ZY91"	-0.129685975	-0.57146405	0.641355436603763	-2.88054575	0.0504217388262683	0.865155640374238	0.760917847364041
"817"	-3.02989	-4.30777	-4.276795	-1.805126	-1.197815	-1.246208	-2.196743	-1.356483	-2.792509	-4.011677	-2.682816	-4.035645	""	""	""	""	""	""	"0"	"393660000"	"3"	"1.56094256107843"	"-1.8555828332901"	"0.0123608433556551"	"0.0257663726806641"	"0.0151326925862286"	"D3ZYM7"	"D3ZYM7"	""	"Lyrm4"	"Lyrm4"	"D3ZYM7"	-3.35489525	-1.49931225	0.045546193713314	-3.38066175	0.972160970036337	0.491631820375549	0.994955886398457
"818"	-4.266547	-0.9608459	-4.157905	-4.199723	-3.696823	-3.383091	-1.243963	-4.3628	-1.556587	-0.7190514	-1.347212	-1.217064	""	""	""	""	""	""	"0"	"416770000"	"3"	"0.076471061805555"	"-0.224585950374603"	"1.40809397543021"	"-2.18627667427063"	"-1.19378598799603"	"D3ZYR0;A0A0G2K860"	"D3ZYR0;A0A0G2K860"	""	"Arhgef12"	"Arhgef12"	"D3ZYR0"	-3.396255225	-3.17166925	0.838780929959985	-1.2099786	0.071233547954852	0.955163322929784	0.760917847364041
"819"	2.442162	0.3342381	-1.449417	2.445827	1.712763	2.149784	1.604292	1.842285	2.491251	0.9644833	2.328533	0.9127216	""	""	""	""	""	""	"0"	"6364000000"	"38"	"0.412652519716414"	"-0.884078502655029"	"0.296472582740034"	"-0.731044769287109"	"-0.359771775487302"	"D3ZYS7;F1M2M6"	"D3ZYS7"	""	"G3bp1"	"G3bp1"	"D3ZYS7"	0.943202525	1.827281	0.417591459778411	1.674247225	0.516179929297258	0.779305677512046	0.941075218370869
"820"	-4.091186	-3.791082	-4.510601	-4.639503	-1.698519	-3.794943	-3.737	-4.421097	-3.40287	-4.295572	-4.039848	-4.098858	""	""	""	""	""	""	"0.0044494"	"86850000"	"1"	"0.649962395018753"	"-0.845203399658203"	"0.497509078010503"	"-0.298805773258209"	"-0.234459335609847"	"D3ZZ21"	"D3ZZ21"	""	"Ndufb6"	"Ndufb6"	"D3ZZ21"	-4.258093	-3.41288975	0.253056854553426	-3.959287	0.318048741963961	0.699862939387587	0.941075218370869
"821"	-5.263865	-4.482729	-3.364296	-4.052164	-3.567301	-3.12738	-3.650602	-4.452089	-4.519612	-4.97068	-3.49523	-4.379687	""	""	""	""	""	""	"0.0081272"	"66233000"	"1"	"0.57239613374531"	"-0.59142005443573"	"0.0346368896838118"	"0.0505388975143433"	"0.0336102359636591"	"D3ZZB2"	"D3ZZB2"	""	"Pex1"	"Pex1"	"D3ZZB2"	-4.2907635	-3.699343	0.272993054080794	-4.34130225	0.923537497009937	0.713222352209898	0.979033811709225
"822"	0.8074303	-1.488726	-3.117414	0.4425106	-1.602495	0.01454926	-1.024431	-0.6810341	-0.7116299	-1.90974	-0.2779636	-4.213438	""	""	""	""	""	""	"0"	"1346400000"	"19"	"0.00540207698153086"	"-0.0156970024108887"	"0.312507694405487"	"0.939143180847168"	"0.414033921740332"	"D3ZZC1"	"D3ZZC1"	""	"Txndc5"	"Txndc5"	"D3ZZC1"	-0.839049775	-0.82335271	0.987924767963193	-1.778192875	0.486987575877145	0.996134251380135	0.941075218370869
"823"	4.378288	4.402641	4.165146	5.642584	5.148207	5.006088	5.416674	5.898798	4.788227	4.698797	4.591532	4.369259	""	""	""	""	""	""	"0"	"60310000000"	"243"	"0.943995075700364"	"-0.720276832580566"	"0.0349384036838693"	"0.0352110862731934"	"0.0261210497944288"	"D3ZZN3"	"D3ZZN3"	""	"Acss1"	"Acss1"	"D3ZZN3"	4.64716475	5.36744175	0.125486110530153	4.61195375	0.925035340974308	0.60871177592045	0.979033811709225
"824"	-2.188959	-1.149693	-3.01387	-2.651995	-2.413628	-2.735376	-2.568697	-1.735874	-1.806791	-1.671499	-3.80718	-0.9744186	""	""	""	""	""	""	"0"	"377760000"	"3"	"0.0887262670034819"	"0.112264633178711"	"0.0929166661303354"	"-0.186156749725342"	"-0.107566852664665"	"P04646;D3ZZN4;F1M0T2;D4A771"	"P04646;D3ZZN4;F1M0T2;D4A771"	"60S ribosomal protein L35a"	"Rpl35a;LOC100362338;LOC100362049"	"Rpl35a"	"P04646"	-2.25112925	-2.36339375	0.81754003263874	-2.06497215	0.808627053870184	0.946435096723728	0.97467001701752
"825"	-1.264128	-0.834774	-2.670898	-0.8174629	-1.098188	-0.9996147	-2.062532	-1.199209	-0.2966099	-1.649319	-1.689241	-0.6935387	""	""	""	""	""	""	"0"	"852930000"	"17"	"0.039439745008291"	"-0.0569295883178711"	"0.226235578389019"	"-0.314638614654541"	"-0.201811203829274"	"D3ZZR5;D3ZLF6"	"D3ZZR5;D3ZLF6"	""	"Snrpa1"	"Snrpa1"	"D3ZZR5"	-1.396815725	-1.339885925	0.914166748077555	-1.08217715	0.594942000379653	0.982217714866713	0.951987980240898
"826"	2.015091	1.688572	1.872391	2.124889	2.057917	2.662283	2.6667	2.603598	2.379015	1.793047	2.711597	2.453875	""	""	""	""	""	""	"0"	"9329600000"	"43"	"1.77029297574137"	"-0.572388648986816"	"0.972067997379321"	"-0.4091477394104"	"-0.336551836853965"	"D3ZZR9"	"D3ZZR9"	"Peptidyl-prolyl cis-trans isomerase"	"Fkbp2"	"Fkbp2"	"D3ZZR9"	1.92523575	2.4976245	0.0214544806130434	2.3343835	0.125068476917128	0.410153305892389	0.829944387677738
"827"	0.1596336	0.562376	0.6481037	-1.006157	1.046251	0.8465862	1.531565	0.8719597	0.6282787	0.3729153	0.08112907	1.230843	""	""	""	""	""	""	"0"	"2806800000"	"33"	"1.26278361718929"	"-0.983101367950439"	"0.490731670349665"	"-0.487302303314209"	"-0.335457666981652"	"D3ZZS8"	"D3ZZS8"	""	"Atp6v1b1"	"Atp6v1b1"	"D3ZZS8"	0.090989075	1.074090475	0.0756057348134954	0.5782915175	0.32982133297168	0.565722910969551	0.941075218370869
"828"	1.658401	2.165508	2.171101	1.696753	2.362045	2.029652	1.770296	2.02059	1.778942	1.838634	1.743505	2.27663	""	""	""	""	""	""	"0"	"7075600000"	"59"	"0.271274264265376"	"-0.122704982757568"	"0.0244966509645022"	"0.0135126113891602"	"0.0113703476216496"	"D3ZZZ9"	"D3ZZZ9"	""	"Ctnnd1"	"Ctnnd1"	"D3ZZZ9"	1.92294075	2.04564575	0.536020631231145	1.90942775	0.945194831551375	0.813197733942944	0.988825662657164
"829"	-2.213943	-1.190434	-1.125439	-2.946411	-1.533825	-1.020239	-1.390911	-1.438061	-0.8467178	-1.338345	-1.529877	-1.522213	""	""	""	""	""	""	"0"	"693830000"	"6"	"0.537034676904425"	"-0.523297786712646"	"0.561296770607799"	"-0.559768676757813"	"-0.381925450934912"	"D4A031"	"D4A031"	""	"Ddx42"	"Ddx42"	"D4A031"	-1.86905675	-1.345759	0.321308032892679	-1.3092882	0.298939671776093	0.734739187225016	0.941075218370869
"830"	-1.483746	0.5925446	0.1821575	-0.5731354	-0.1434212	-0.258997	-0.2017326	0.2093983	-0.6574459	-4.233331	-0.1441021	-5.20072	""	""	""	""	""	""	"0"	"1208300000"	"9"	"0.185273449123203"	"-0.221856594085693"	"0.831738595906723"	"2.23835515975952"	"0.954211298712988"	"D4A071"	"D4A071"	""	"Serhl2"	"Serhl2"	"D4A071"	-0.320544825	-0.098688125	0.665406293551816	-2.55889975	0.17596719747787	0.877160309788383	0.849705646679399
"831"	-3.222626	-3.395115	-4.274623	-2.566053	-4.205791	-4.61644	-2.543137	-2.49814	-2.453449	-3.0937	-1.955778	-3.459651	""	""	""	""	""	"+"	"0.00042283"	"168190000"	"3"	"0.0544476199283311"	"0.101272881031036"	"0.609079350456199"	"-0.623959720134735"	"-0.420069912999688"	"D4A0E8"	"D4A0E8"	""	"Prmt5"	"Prmt5"	"D4A0E8"	-3.36460425	-3.465877	0.88304209514552	-2.7406445	0.24611347730574	0.973264509462748	0.89797130961243
"832"	-2.180944	-4.865563	-0.9522762	-0.5419312	-1.194458	-0.7305717	-0.6469955	-2.046238	-3.198482	-1.041344	-1.927006	-4.45627	""	""	""	""	""	""	"0"	"703380000"	"11"	"0.424764873480703"	"-0.980612874031067"	"0.163569243352044"	"0.52059668302536"	"0.233757900835915"	"D4A0T0"	"D4A0T0"	""	"Ndufb10"	"Ndufb10"	"D4A0T0"	-2.1351786	-1.1545658	0.398174865935485	-2.6557755	0.687143849118556	0.77116377050229	0.963637905671656
"833"	-4.437771	-3.93005	-4.449228	-4.466718	-5.541808	-2.486471	-2.934237	-2.127325	-4.287098	-3.031294	-3.22695	-3.535852	""	""	""	""	""	""	"0.00042753"	"129110000"	"4"	"0.637937442538015"	"-1.04848176240921"	"1.40454074915054"	"-0.800643265247345"	"-0.613439073388728"	"D4A104"	"D4A104"	""	"Mrpl45"	"Mrpl45"	"D4A104"	-4.32094175	-3.27246025	0.269541905830282	-3.5202985	0.0547448413590736	0.710637888190129	0.760917847364041
"834"	4.346348	4.24324	4.078808	4.874346	4.594397	4.337589	4.742636	5.274248	4.591476	4.31016	4.165804	4.223442	""	""	""	""	""	""	"0"	"46298000000"	"260"	"0.641810124282418"	"-0.351531982421875"	"0.119708703324652"	"0.062964916229248"	"0.0526399339425294"	"D4A133"	"D4A133"	""	"Atp6v1a"	"Atp6v1a"	"D4A133"	4.3856855	4.7372175	0.229016090710935	4.3227205	0.76210038547815	0.692089813893596	0.966841729932831
"835"	1.016651	-1.490629	-0.3459969	1.626846	0.7936363	0.948801	1.057594	1.195854	0.7152882	-0.06981277	-0.07502937	-0.2414055	""	""	""	""	""	""	"0"	"3631700000"	"35"	"0.522001037916005"	"-0.797253608703613"	"0.0577154820136671"	"0.119457721710205"	"0.0690104623484639"	"D4A197"	"D4A197"	""	"Mcee"	"Mcee"	"D4A197"	0.201717775	0.998971325	0.337579592916827	0.08226014	0.879037164277063	0.738661378447386	0.977976567122244
"836"	-2.122883	-2.890871	-3.36382	-2.755892	-2.299992	-1.520617	-4.03123	-1.616722	-4.115739	-3.956453	-4.454524	-3.874554	""	""	""	""	""	""	"0"	"326620000"	"3"	"0.270447623255187"	"-0.416226327419281"	"2.43351000057834"	"1.31695091724396"	"1.02391779823949"	"D4A1B2"	"D4A1B2"	""	"RGD1311021"	"RGD1311021"	"D4A1B2"	-2.7833665	-2.36714025	0.546966787895819	-4.1003175	0.00789682677592658	0.817502041262173	0.624320510034323
"837"	-0.6902142	-0.6457367	0.09435081	-0.6039352	0.00211525	-0.3647537	-0.1451416	-0.1973553	-0.6435852	-1.249451	-0.379097	-1.119747	""	""	""	""	""	""	"0"	"1392400000"	"17"	"0.68688923035066"	"-0.285099983215332"	"0.676897804916794"	"0.38658618927002"	"0.303036687733548"	"D4A1B8"	"D4A1B8"	""	"Dctn3"	"Dctn3"	"D4A1B8"	-0.4613838225	-0.1762838375	0.229420870045063	-0.84797005	0.210801651511782	0.692089813893596	0.873697955121135
"838"	-0.1044197	0.4385719	-0.01252937	-0.8862972	-0.3331852	0.4667969	-2.659321	-0.691885	-0.5714779	-0.7237625	-1.217348	-0.4808636	""	""	""	""	""	"+"	"0"	"1515500000"	"26"	"0.40695757292592"	"0.663229942321777"	"0.970715474192515"	"0.607194423675537"	"0.459823059443692"	"P97690;F1LQB2;D4A1B9"	"P97690;F1LQB2;D4A1B9"	"Structural maintenance of chromosomes protein 3"	"Smc3"	"Smc3"	"P97690"	-0.1411685925	-0.804398575	0.408387320735662	-0.748363	0.117926293960225	0.776996666910836	0.829944387677738
"839"	-4.682695	-4.606813	-2.959394	-3.995588	-3.025721	-3.067986	-3.125032	-3.46763	-3.814926	-3.616428	-3.76647	-4.6873	""	""	""	""	""	""	"0.0065194"	"125410000"	"1"	"1.13386008633778"	"-0.889530658721924"	"0.0687871010075356"	"-0.0898418426513672"	"-0.0612785888998631"	"D4A1C1"	"D4A1C1"	""	"Rabl3"	"Rabl3"	"D4A1C1"	-4.0611225	-3.17159225	0.108697043160241	-3.971281	0.854810862643249	0.594622847684331	0.977287668004742
"840"	-0.4600048	0.7181873	0.1198273	-0.3316326	1.163342	1.045631	1.381199	1.018646	0.3985138	1.819715	0.1074772	1.399889	""	""	""	""	""	""	"0"	"2995000000"	"34"	"2.19217823433255"	"-1.1406102180481"	"0.971913894946346"	"-0.919804573059082"	"-0.619400552396575"	"D4A1J3"	"D4A1J3"	""	"Palm3"	"Palm3"	"D4A1J3"	0.0115943	1.1522045	0.0187993594429251	0.93139875	0.114325158247173	0.388685001815565	0.829944387677738
"841"	-1.611969	0.4676628	-1.736507	-0.03031921	-0.3306599	-1.606129	-1.01165	-0.692194	-0.2264824	-0.2328644	-0.6924934	-0.3144245	""	""	""	""	""	""	"0"	"1262700000"	"15"	"0.108971605225047"	"0.182374954223633"	"0.261397111728223"	"-0.361217021942139"	"-0.230477889556442"	"D4A1J6"	"D4A1J6"	""	"Ankfy1"	"Ankfy1"	"D4A1J6"	-0.7277831025	-0.910158225	0.781714103851896	-0.366566175	0.566470999162206	0.93098720198887	0.94967801582793
"842"	-4.555003	-4.636927	-1.991249	-4.197166	-2.034338	-4.020341	-4.166822	-0.9103775	-2.501816	-2.132526	-2.226566	-1.966297	""	""	""	""	""	""	"0"	"263180000"	"6"	"0.477793185144869"	"-1.06211674213409"	"1.37854407284836"	"-1.63828492164612"	"-1.00185840915858"	"D4A1K4"	"D4A1K4"	""	"RGD1310262"	"RGD1310262"	"D4A1K4"	-3.84508625	-2.782969625	0.334879242958413	-2.20680125	0.0768712791200946	0.738661378447386	0.760917847364041
"843"	1.837633	1.372707	0.3663349	1.63275	2.069336	2.00312	1.575602	2.175241	1.484808	1.211996	2.102797	0.7558231	""	""	""	""	""	""	"0"	"5667700000"	"50"	"0.948620326246167"	"-0.653468608856201"	"0.0718507663179184"	"-0.0864996910095215"	"-0.0604528965969851"	"D4A1Q2;F1LST4;P19332;D3ZKD9;A0JN25"	"D4A1Q2;F1LST4;P19332;D3ZKD9"	"Microtubule-associated protein;Microtubule-associated protein tau"	"Mapt"	"Mapt"	"D4A1Q2"	1.302356225	1.95582475	0.13761816270602	1.388856025	0.847656033816118	0.624076322576111	0.977287668004742
"844"	-2.38567	-2.446667	-1.157049	-0.8806801	-5.581738	-4.222388	-4.300296	-4.287988	-4.623424	-5.079974	-3.234167	-0.4448547	""	""	""	"+"	""	""	"0"	"309920000"	"6"	"2.8215249664032"	"2.88058590888977"	"0.706941814715061"	"1.62808853387833"	"0.767867473495995"	"D4A1R8"	"D4A1R8"	""	"Cpne1"	"Cpne1"	"D4A1R8"	-1.717516525	-4.5981025	0.00174233585743506	-3.345604925	0.221666950774087	0.171111900665601	0.873697955121135
"845"	-0.4330292	0.6376457	0.5513573	-1.587387	-1.468334	-0.6190414	-0.3531055	-0.5188465	-0.7183495	0.1803074	-0.4586868	-3.556564	""	""	""	""	""	""	"0"	"1343600000"	"16"	"0.406987325718812"	"0.531978607177734"	"0.422524956376413"	"0.930469989776611"	"0.470488158455763"	"Q3T1J9;D4A1V7"	"Q3T1J9;D4A1V7"	"MOB kinase activator 1A"	"Mob1a;Mob1b"	"Mob1a"	"Q3T1J9"	-0.2078533	-0.73983185	0.404896191547234	-1.138323225	0.384546613907066	0.776450707002184	0.941075218370869
"846"	-2.31633	-3.105358	-2.669647	-2.676878	-2.916727	-2.965315	-3.092239	-2.341591	-3.720833	-3.974339	-3.6537	-3.411495	""	""	""	""	""	""	"0.000815"	"228790000"	"2"	"0.23911206952308"	"0.136914730072021"	"2.62114293228354"	"0.998038291931152"	"0.83265554436046"	"D4A1W5;Q5U212;Q64LC9"	"D4A1W5;Q5U212;Q64LC9"	"RNA-binding protein 4B"	"Rbm4;Rbm4b"	"Rbm4"	"D4A1W5"	-2.69205325	-2.828968	0.576638252646003	-3.69009175	0.00317081565630793	0.833825988642104	0.467100781369862
"847"	0.6186104	2.588902	2.358192	1.509975	2.130322	1.430157	2.23465	1.907936	1.860243	1.986662	2.131306	1.96991	""	""	""	""	""	""	"0"	"6552700000"	"48"	"0.121398242524303"	"-0.156846046447754"	"0.189622316133277"	"-0.218110084533691"	"-0.150257344780026"	"D4A264"	"D4A264"	""	"Zadh2"	"Zadh2"	"D4A264"	1.76891985	1.92576625	0.761668509231252	1.98703025	0.661235292539508	0.923421379051499	0.963637905671656
"848"	-0.9458294	-2.547146	-0.4865246	-1.585342	-0.926199	-1.050886	-0.5945625	-0.7481518	-1.725754	-0.598938	-0.04762268	0.3017426	""	""	""	""	""	""	"0"	"1088700000"	"17"	"0.575475146398783"	"-0.56126070022583"	"0.668963894473839"	"-0.873567581176758"	"-0.536228300954708"	"D4A2C6"	"D4A2C6"	""	"Lsm4"	"Lsm4"	"D4A2C6"	-1.3912105	-0.829949825	0.300083003684345	-0.51764302	0.214309125118321	0.728861793421684	0.873697955121135
"849"	1.683397	0.6664085	0.809309	0.7979069	1.613056	1.220938	0.1424179	0.9230442	1.318098	0.0046978	0.8667126	0.8873672	""	""	""	""	""	""	"0"	"3880300000"	"47"	"0.0124635859311914"	"0.0143914222717285"	"0.248270944487528"	"0.220036506652832"	"0.161666764333788"	"D4A2F1;F1LPF2;P25304"	"D4A2F1;F1LPF2;P25304"	"Agrin;Agrin N-terminal 110 kDa subunit;Agrin C-terminal 110 kDa subunit;Agrin C-terminal 90 kDa fragment;Agrin C-terminal 22 kDa fragment"	"Agrn"	"Agrn"	"D4A2F1"	0.98925535	0.974864025	0.971800379965919	0.7692189	0.565153388834989	0.996134251380135	0.94967801582793
"850"	-2.118231	-2.289293	-1.216833	-2.11727	-1.19235	-1.468689	-1.314112	-1.591389	-1.751774	-1.908445	-1.477018	-1.980019	""	""	""	""	""	""	"0"	"582150000"	"6"	"1.09821852125233"	"-0.543771743774414"	"0.236215450159185"	"-0.156092643737793"	"-0.123172641503704"	"D4A2F2"	"D4A2F2"	""	"Pard6b"	"Pard6b"	"D4A2F2"	-1.93540675	-1.391635	0.107250644007697	-1.779314	0.589068603808227	0.594622847684331	0.950957378226993
"851"	-2.445053	-2.449598	-4.831285	-1.316593	-2.52504	-2.162966	-2.188669	-1.946554	-2.184887	-2.6719	-2.701632	-1.389013	""	""	""	""	""	""	"0.0011905"	"414050000"	"2"	"0.312408935721288"	"-0.554825067520142"	"0.269755568356715"	"-0.523774385452271"	"-0.290851190914049"	"D4A2F6"	"D4A2F6"	""	"Nhlrc3"	"Nhlrc3"	"D4A2F6"	-2.76063225	-2.20580725	0.510351148568668	-2.236858	0.548785028182419	0.812066307802952	0.942414385676083
"852"	0.7963142	-0.6110477	-0.02239227	0.2439404	0.534029	0.8002892	0.5768642	0.7879448	-0.3989048	0.1058521	1.336098	1.519033	""	""	""	""	""	""	"0"	"2788100000"	"15"	"0.978007204511049"	"-0.573078155517578"	"0.436294097981052"	"-0.538815975189209"	"-0.347317735551651"	"D4A2G9"	"D4A2G9"	""	"Ranbp1"	"Ranbp1"	"D4A2G9"	0.1017036575	0.6747818	0.143253811354686	0.640519575	0.3730238692789	0.630205256392547	0.941075218370869
