527_RG_Benzing_Rinschen_150523_TQ_S01	527_RG_Benzing_Rinschen_150523_TQ_S02	527_RG_Benzing_Rinschen_150523_TQ_S07	527_RG_Benzing_Rinschen_150523_TQ_S08	527_RG_Benzing_Rinschen_150523_TQ_S09	527_RG_Benzing_Rinschen_150523_TQ_S10	527_RG_Benzing_Rinschen_150523_TQ_S15	527_RG_Benzing_Rinschen_150523_TQ_S16	527_RG_Benzing_Rinschen_150523_TQ_S17	527_RG_Benzing_Rinschen_150523_TQ_S18	527_RG_Benzing_Rinschen_150523_TQ_S23	527_RG_Benzing_Rinschen_150523_TQ_S24	724_RG_Rinschen_Schermer_150624_C1_01	724_RG_Rinschen_Schermer_150624_C2_02	724_RG_Rinschen_Schermer_150624_C3_03	724_RG_Rinschen_Schermer_150624_C4_04	724_RG_Rinschen_Schermer_150624_PAN_1_05	724_RG_Rinschen_Schermer_150624_PAN_2_06	724_RG_Rinschen_Schermer_150624_PAN_3_07	724_RG_Rinschen_Schermer_150624_PAN_4_08	Q-value	Intensity	MS/MS Count	Protein IDs	Majority protein IDs	Protein names	Gene names	PDB
29.83233	29.65569	29.50949	29.49711	29.65905	29.75085	29.46993	29.30215	29.70696	29.51388	29.30826	29.31385	29.91171	29.96375	29.94126	29.90828	29.69006	29.76662	29.74463	29.71964	0	68885000000	807	A0A024R4E5;B2R5V9;Q00341;H0Y394;B4DKR8;Q6ZS03;Q96CF6;Q6ZN49;H7C0A4;Q2HJC8;Q5HYC5;C9JIZ1;C9J5E5;H7BZC3;C9JZI8;H7C2D1;C9JES8;C9JHZ8;C9JHS7;C9JT62;C9JK79;C9JQ82;C9JBS3;C9JEJ8;C9JHN6;C9JMQ6;H7C3D0;C9JHS9;C9J739	A0A024R4E5;B2R5V9;Q00341;H0Y394;B4DKR8;Q6ZS03;Q96CF6	Vigilin	HDLBP	1VIG;1VIH;2CTE;2CTF;2CTJ;2CTK;2CTL;2CTM
34.21255	34.33292	34.37632	34.56712	34.30314	34.32032	34.43583	34.44351	34.43471	34.82112	34.30742	34.43589	33.71579	33.65715	33.70306	33.80155	33.6685	33.8599	33.82297	33.84801	0	1.2758E+12	2391	P06733;A0A024R4F1;E2DRY6;K7EM90;A4QMW8;K7ERS8;L0R6S1	P06733;A0A024R4F1;E2DRY6	Alpha-enolase;Enolase	ENO1	2PSN;3B97
24.18579	23.57415	23.86863	24.05573	23.2988	23.42969	23.21614	22.82244	22.70997	23.518	22.49321	22.5077	23.47667	23.31534	22.76691	23.57623	22.42219	23.31548	23.03572	23.19341	0	658360000	24	P28340;A0A024R4F4;M0R2B7;Q308M6;M0QZR8;Q59FA0;M0QXE6;M0R3H8;M0QXQ2	P28340;A0A024R4F4;M0R2B7;Q308M6	DNA polymerase delta catalytic subunit;DNA polymerase	POLD1	
27.01521	26.83232	27.37277	27.13075	26.68833	26.75608	26.85804	26.86242	26.76812	26.10488	26.77631	26.61807	27.98338	28.17565	27.92688	28.0872	27.97684	27.85466	27.84086	27.72631	0	17916000000	272	Q8N1G4;A0A024R4G1;J3KRP5	Q8N1G4;A0A024R4G1	Leucine-rich repeat-containing protein 47	LRRC47	
26.63256	26.30973	25.95276	25.69506	26.13065	26.25443	25.52964	25.52791	26.23725	24.55737	26.1615	25.1118	27.04573	26.99302	26.84482	26.81556	27.14754	27.24681	27.40973	27.3195	0	8858100000	163	Q02809;A0A024R4H0;B4DR87;B2R5M9;B4DGN8;B4DHT1;Q5JXB7;Q5JXB9;Q5JXB8	Q02809;A0A024R4H0;B4DR87;B2R5M9;B4DGN8	"Procollagen-lysine,2-oxoglutarate 5-dioxygenase 1"	PLOD1	
29.2916	29.66701	29.51608	29.78027	28.75073	29.00477	29.14341	29.62748	30.47179	29.48794	30.62697	30.05763	30.556	30.53575	30.53973	30.48491	30.93467	30.75119	30.91456	30.7272	0	1.1883E+11	573	Q75MT9;Q6FHZ0;P40926;A0A024R4K3;Q0QF37;G3XAL0;B3KTM1	Q75MT9;Q6FHZ0;P40926;A0A024R4K3;Q0QF37;G3XAL0;B3KTM1	"Malate dehydrogenase;Malate dehydrogenase, mitochondrial"	MDH2	2DFD
28.59199	28.75688	28.68191	28.65789	28.55994	28.62349	28.66204	28.57903	28.14	28.21716	27.3073	27.80925	28.8909	28.6764	28.73198	28.76721	28.63055	28.52701	28.71411	29.14363	0	34846000000	293	P46781;A0A024R4M0;B5MCT8;C9JM19;B7Z732;A5D904;A8MXK4	P46781;A0A024R4M0;B5MCT8;C9JM19;B7Z732;A5D904	40S ribosomal protein S9	RPS9	3J3A
28.78762	29.00421	29.23075	29.18594	28.70632	28.85878	28.8435	28.41591	28.21243	28.74011	27.73886	27.88629	29.84217	29.58832	29.62753	29.61047	29.41772	29.37524	29.36474	29.27844	0	51738000000	308	M0R0F0;P46782;A0A024R4Q8;Q53G25;M0R0R2;M0QZN2;Q59EK8	M0R0F0;P46782;A0A024R4Q8;Q53G25;M0R0R2;M0QZN2	"40S ribosomal protein S5;40S ribosomal protein S5, N-terminally processed"	RPS5	3J3A
24.31955	24.3839	23.8319	24.41674	24.20814	24.2764	24.43981	24.54008	24.27441	23.76787	24.18518	24.42118	24.42586	25.07989	24.30835	24.14694	22.50456	24.31354	23.88781	23.96702	0	1346900000	58	O75175;A0A024R4R3;B7Z6J7;H7C148;Q6ZMJ6;H7C5J4;H0Y5X7	O75175;A0A024R4R3;B7Z6J7	CCR4-NOT transcription complex subunit 3	CNOT3	4C0D;4C0G
22.62308	22.83967	22.7667	22.79134	22.07796	22.52044	21.11821	21.96132	22.27016	22.89411	20.0376	22.70082	22.40807	22.42337	23.08312	23.08091	22.11417	22.95653	20.93467	21.95663	0	415850000	11	O43633;A0A024R4S0;M0R1L7;M0R1T5;M0QXX8	O43633;A0A024R4S0;M0R1L7;M0R1T5	Charged multivesicular body protein 2a	CHMP2A	
24.32368	24.03229	24.05001	24.36011	24.161	24.5661	24.10893	24.16798	24.1728	23.03237	23.90169	22.04629	22.63495	22.64896	22.08103	22.07945	21.07385	22.50874	22.68747	22.55063	0	489580000	11	Q9Y6I3;A0A024R4S1;B4DU91;D6R907;D6RBI9;J3KSC7;J3QLN2;D6RBR6;D6RFG3;D6REL6;I6L9I8;Q8IYW4;Q9H201	Q9Y6I3;A0A024R4S1;B4DU91	Epsin-1	EPN1	1INZ
26.33741	25.97664	26.61961	26.27767	26.01506	26.02109	26.24351	26.0846	25.29548	26.1958	26.14229	25.59574	27.34172	27.33159	27.33202	27.4251	27.49618	27.403	27.31129	27.27444	0	11523000000	70	P61081;A0A024R4T4;M0QYI6;M0QX69	P61081;A0A024R4T4	NEDD8-conjugating enzyme Ubc12	UBE2M	1TT5;1Y8X;2NVU;3TDU;3TDZ;4GAO
26.65089	26.77191	26.91741	26.93303	26.58778	27.03055	26.97312	26.86703	26.50531	23.52116	26.8334	26.72078	26.85389	27.05889	27.21188	27.05227	26.88751	27.14024	26.72559	26.81409	0	10075000000	157	Q9NP61;A0A024R4U0;B7Z6L2;C9JZR4;B7Z4Q0;H0Y6A0;B0QYV8;B0QYV9	Q9NP61;A0A024R4U0;B7Z6L2;C9JZR4;B7Z4Q0;H0Y6A0	ADP-ribosylation factor GTPase-activating protein 3	ARFGAP3	2CRW
24.86854	24.80813	24.77279	25.03145	24.46719	24.74047	24.93975	24.59069	24.97412	25.08095	25.10358	24.18276	24.99636	24.55374	25.2696	25.08237	25.18518	25.29428	24.70472	24.63145	0	2285700000	55	Q14166;A0A024R4U3;Q9BR23;V9GY16	Q14166;A0A024R4U3	Tubulin--tyrosine ligase-like protein 12	TTLL12	
25.69959	25.16019	25.83468	25.97163	25.48861	25.35521	25.35067	25.25404	24.76608	24.3534	24.99658	24.08902	25.03494	25.24274	24.21593	24.47945	25.47194	25.07757	25.27267	25.63984	0	3026700000	68	A0A024R4X0;P00387;B1AHF3;Q6ZVI6;Q6TGM5	A0A024R4X0;P00387;B1AHF3;Q6ZVI6	NADH-cytochrome b5 reductase 3;NADH-cytochrome b5 reductase 3 membrane-bound form;NADH-cytochrome b5 reductase 3 soluble form	CYB5R3	1M91;1UMK
26.41593	26.4396	27.01009	26.7213	25.99923	26.06905	26.28567	26.49285	26.13157	25.8112	26.54823	26.76142	25.22	25.31195	25.25537	25.07932	25.00089	25.35067	25.31154	25.14907	0	3251600000	106	Q9UKX7;A0A024R4X7;B0QY21;B4E2D3	Q9UKX7;A0A024R4X7	Nuclear pore complex protein Nup50	NUP50	2EC1;3TJ3
24.76061	24.55795	23.09689	23.40782	23.7688	24.50543	23.26914	23.04248	24.85062	23.73749	22.74164	24.28524	26.30341	26.03886	25.8746	26.34538	23.97972	23.70662	23.95234	23.88334	0	2750300000	39	A0A024R4X8;A0A024R531;A0A024R524;R9W7C9;Q06710;Q5SZP1;E7ERW5;G3V5S4;A0A024R523;Q6YFJ8;E7EQT0;Q02548;G3V5U4;H0YJD1	A0A024R4X8;A0A024R531;A0A024R524;R9W7C9;Q06710	Paired box protein Pax-8	PAX8	1K78;1MDM;2K27
22.43407	23.80646	24.19963	24.02403	21.88713	21.0405	23.63301	23.95056	20.53663	22.81181	23.65425	23.76476	22.75368	22.76702	21.22351	21.03068	22.79662	22.46804	21.96849	22.02645	0	484630000	8	A0A024R4Z4;Q96JP5;A0A024R4Z1;A0A024R557;H3BTR0;B4DIN6	A0A024R4Z4;Q96JP5;A0A024R4Z1;A0A024R557	E3 ubiquitin-protein ligase ZFP91	ZFP91	2M9A
27.97755	27.0451	27.22738	27.63672	27.43928	26.81495	26.796	27.07938	28.26199	26.49975	27.66139	26.60074	25.68301	25.48115	25.11965	25.07504	25.93899	24.5093	25.33023	25.83316	0	5847400000	153	Q08945;A0A024R4Z6;E9PPZ7;E9PMD4;Q59GH7	Q08945;A0A024R4Z6	FACT complex subunit SSRP1	SSRP1	4IFS
20.22916	21.05544	21.37159	21.32838	22.10028	21.84258	21.91512	22.2015	22.33202	23.26618	21.26921	23.14355	25.889	24.64229	24.86792	24.70219	25.37955	25.02985	24.7891	24.83745	0	1945100000	14	P15289;Q63HL5;A0A024R509;B4DVI5	P15289;Q63HL5;A0A024R509;B4DVI5	Arylsulfatase A;Arylsulfatase A component B;Arylsulfatase A component C	ARSA;DKFZp686G12235	1AUK;1E1Z;1E2S;1E33;1E3C;1N2K;1N2L;2AIJ;2AIK;2HI8
23.67745	23.93769	24.14911	23.91971	22.19402	23.84086	23.99516	23.6856	23.2151	22.09524	20.10409	21.90749	24.97802	24.99602	25.11	25.77314	24.93157	25.17204	25.12096	25.24913	0	2558700000	34	Q3LXA3;A0A024R529;H0YCY6;Q2L9C1;Q9UFX5;I3L252;E9PJG8;E9PQR1;A0AUP5	Q3LXA3;A0A024R529;H0YCY6;Q2L9C1;Q9UFX5	Bifunctional ATP-dependent dihydroxyacetone kinase/FAD-AMP lyase (cyclizing);ATP-dependent dihydroxyacetone kinase;FAD-AMP lyase (cyclizing)	DAK;DKFZp586B1621	
26.27546	26.05823	26.30295	25.99354	25.23491	25.15526	24.89934	24.87497	25.00693	23.1455	25.24989	22.88252	26.22465	26.32153	26.29856	26.14429	26.24918	26.34927	25.73104	25.77158	0	4876700000	77	O94776;A0A024R534;H7C3F3	O94776;A0A024R534	Metastasis-associated protein MTA2	MTA2	
27.15894	27.12366	27.32432	27.24654	27.21521	27.11277	27.47669	27.70925	27.48999	27.45959	27.54532	27.85656	27.23599	27.3986	27.5796	27.03202	27.42398	27.26874	27.05683	26.59747	0	13278000000	137	E9PJ81;Q04323;A0A024R598;A0A024R539;B4E0P8;E9PRQ7;B4DNC6;Q05BV2;E9PS08;B4DU88	E9PJ81;Q04323;A0A024R598;A0A024R539;B4E0P8;E9PRQ7;B4DNC6;Q05BV2	UBX domain-containing protein 1	UBXN1	
28.4287	28.3721	28.46984	28.55116	28.30496	28.29145	28.43193	28.40807	28.39104	28.32749	28.44253	28.51495	28.17312	28.31989	28.35674	28.20261	28.11133	28.26816	28.39599	28.19418	0	25811000000	538	Q9C0C2;A0A024R542;B3KXS7;E9PKK0;Q86TK2;E9PKE7	Q9C0C2;A0A024R542;B3KXS7	182 kDa tankyrase-1-binding protein	TNKS1BP1	
22.79946	21.86287	22.33002	21.36575	22.63296	22.08423	22.15522	22.32719	21.51195	23.18764	21.42404	23.18173	24.17995	24.176	23.98659	24.03557	23.79432	23.62979	23.60603	23.55848	0	832820000	13	Q92934;A0A024R562;B4DZQ9;F5GYS3;A8MXU7	Q92934;A0A024R562;B4DZQ9;F5GYS3;A8MXU7	Bcl2 antagonist of cell death	BAD	1G5J
25.95941	25.6637	26.35725	25.60603	25.55075	26.20777	26.18963	26.32608	25.75891	27.06815	25.92198	26.32766	27.38616	27.16087	26.97235	27.15702	26.97356	27.13624	27.10809	26.84002	0	8430800000	82	Q9UI30;A0A024R565;F5GX77;F5GYQ2;M0R242	Q9UI30;A0A024R565;F5GX77	tRNA methyltransferase 112 homolog	TRMT112	
28.01526	28.01191	28.15557	28.14637	27.77499	28.01691	27.89753	28.10889	27.96955	28.04822	28.00142	28.10495	28.73263	28.17636	28.243	27.86968	28.13099	28.10084	27.94291	27.44269	0	19740000000	217	A0A024R566;A0A024R588;B4DJU4;A0A024R5D9;Q15637;A0A024R572;B4DSE4;B4DX42;Q14820;F8WEV5;C9J792	A0A024R566;A0A024R588;B4DJU4;A0A024R5D9;Q15637;A0A024R572;B4DSE4;B4DX42	Splicing factor 1	SF1	1K1G;1O0P;1OPI;2M09;2M0G;4FXW;4FXX
23.36132	23.03658	23.58451	23.63976	22.82146	22.83362	23.46326	23.39545	22.96573	23.77712	23.22851	23.39754	23.36866	23.34895	23.54298	23.54227	23.68217	23.6609	23.59776	23.85358	0	968520000	23	Q7L266;A0A024R573;Q9BRH2;B3KR33;E9PJK6;B4DLU4	Q7L266;A0A024R573;Q9BRH2;B3KR33	Isoaspartyl peptidase/L-asparaginase;Isoaspartyl peptidase/L-asparaginase alpha chain;Isoaspartyl peptidase/L-asparaginase beta chain	ASRGL1	3TKJ;4ET0;4O0C;4O0D;4O0E;4O0F;4O0G;4O0H;4OSX;4OSY;4PVP;4PVQ;4PVR;4PVS
23.32649	24.02225	24.02926	24.13587	24.02952	23.75287	24.28207	24.02909	23.10754	23.334	23.00683	23.19501	23.79193	23.33851	23.09836	23.53789	24.22523	23.27227	23.69689	23.78856	0	1029500000	26	O95159;A0A024R576;E9PQ47;E9PNY1;B4DHV1;E9PMQ3;E9PQA5;H0YCU8;E9PJX1;E9PJ47	O95159;A0A024R576;E9PQ47;E9PNY1	Zinc finger protein-like 1	ZFPL1	
23.0069	22.76975	22.76677	22.77002	22.18261	22.21069	22.28086	22.90292	23.35151	24.20083	23.95403	23.59012	21.98309	22.00079	21.47386	22.76745	22.08996	22.07502	21.09957	22.3945	0	352510000	16	Q13405;A0A024R578;H0YDP7;E9PNF1;Q59GE9;E9PI78	Q13405;A0A024R578;H0YDP7;E9PNF1;Q59GE9	"39S ribosomal protein L49, mitochondrial"	MRPL49	
24.66047	24.7103	24.74109	24.62956	24.27938	24.6825	24.48922	24.54227	24.3652	23.71455	24.55532	24.80445	24.62606	24.85181	24.38172	24.65425	24.59292	24.52031	24.39034	24.01954	0	1612800000	54	Q92785;A0A024R582;J3KMZ8;E9PN04	Q92785;A0A024R582;J3KMZ8	Zinc finger protein ubi-d4	DPF2	3IUF
23.86656	24.07602	24.22957	24.28079	23.82736	23.92597	24.01878	24.6484	24.03741	22.53811	21.09519	24.88711	22.72116	22.73468	20.7511	22.05505	21.23592	21.02766	21.35324	22.35296	0	717750000	12	E9PQD0;E9PS30;E9PLI6;E9PS76;Q8N9N8;A0A024R5B9	E9PQD0;E9PS30;E9PLI6;E9PS76;Q8N9N8;A0A024R5B9	Probable RNA-binding protein EIF1AD	EIF1AD	2DGY
23.69073	23.39611	21.00423	23.68046	23.25358	23.24009	21.46538	21.51143	20.94591	23.78725	21.89641	21.41796	24.14476	24.07398	24.10422	24.22869	24.32217	24.47562	24.25739	24.49106	0	1300500000	14	A0A024R5C4;B7Z3E3;O95197;B7Z8W8;B7Z361;Q7RTN4;B7Z4M1;F5H891;F5GWG7;F5H617	A0A024R5C4;B7Z3E3;O95197;B7Z8W8;B7Z361	Reticulon-3	RTN3	
22.2517	22.10614	21.23649	22.32389	22.04714	21.38992	22.24644	22.29276	20.49778	23.42302	22.1378	22.27927	23.10891	22.99466	22.67558	22.80745	22.83221	22.7361	20.62086	22.9421	0	378530000	9	P50416;B2RAQ8;A0A024R5F4	P50416;B2RAQ8;A0A024R5F4	"Carnitine O-palmitoyltransferase 1, liver isoform"	CPT1A	2LE3
27.21271	27.49861	27.02359	27.53571	26.87888	27.09124	27.44656	27.60088	28.62422	28.40349	28.3195	27.74079	26.07523	25.73779	25.43514	25.22505	26.09871	26.20818	26.41493	26.21893	0	7777800000	89	O75531;A0A024R5H0;B2R4V4	O75531;A0A024R5H0;B2R4V4	"Barrier-to-autointegration factor;Barrier-to-autointegration factor, N-terminally processed"	BANF1	1CI4;1QCK;2BZF;2EZX;2EZY;2EZZ;2ODG
22.91158	23.41957	23.95598	23.12071	23.29084	23.51304	23.33674	23.01522	21.79902	22.46155	22.51109	21.55558	24.42703	24.43089	22.31135	21.19406	21.48525	22.76208	22.20187	21.95178	0	766780000	14	Q6VY07;A0A024R5H6;B4DF77;E9PNZ9;H0YF56;E9PPK2	Q6VY07;A0A024R5H6;B4DF77	Phosphofurin acidic cluster sorting protein 1	PACS1	
26.85031	26.99335	26.84601	26.86112	26.78144	26.72767	26.65363	26.49392	26.33616	22.86551	26.021	25.69272	27.1032	26.73376	26.69869	26.88658	26.7753	26.90024	26.9215	27.67384	0	10564000000	86	Q6FGX3;P20340;A0A024R5J5;A0A024R5H8;H7BYW1;Q53ET8;B7Z5Z9;H0YGL6;Q9NRW1;C9JU14;J3KR73;Q6AZ91;F5H3K7;F5GX61;C9JB90;C9J0I2;Q53S08;Q9H0N0	Q6FGX3;P20340;A0A024R5J5;A0A024R5H8;H7BYW1;Q53ET8;B7Z5Z9;H0YGL6;Q9NRW1	Ras-related protein Rab-6A;Ras-related protein Rab-6B	RAB6A;RAB6B	1YZQ;2E9S;2FE4;2FFQ;2GIL;3BBP;3CWZ;4DKX
24.94985	24.60196	25.01504	24.62812	24.41687	24.74622	24.59138	24.58451	24.74571	22.51042	24.8805	24.95629	25.53481	25.24826	25.38502	25.3665	25.30835	25.31583	25.24862	25.82007	0	3159500000	61	Q8TE77;A0A024R5J4;E9PIT5;C9JUG3;A0A024R5C3	Q8TE77;A0A024R5J4;E9PIT5	Protein phosphatase Slingshot homolog 3	SSH3	
24.50391	24.37511	24.39813	24.2599	24.2844	24.47035	24.26084	24.30145	24.56842	24.58869	24.59844	24.58193	24.53433	24.35616	24.42618	24.3978	24.64971	24.57496	24.18956	24.02208	0	1485300000	33	Q9NYJ1;A0A024R5J6	Q9NYJ1;A0A024R5J6	"Cytochrome c oxidase assembly factor 4 homolog, mitochondrial"	COA4	
28.26517	28.29977	28.56249	28.57762	28.1357	28.56191	28.62878	28.55739	28.3327	28.19357	28.44395	28.86841	29.90527	30.10562	30.105	30.20186	29.7809	30.17081	30.1939	29.96361	0	73639000000	422	Q9BR76;A0A024R5K1;Q9NSK3;F5H390;Q59F81;E7EW44;B4DIU2;F5H0D2	Q9BR76;A0A024R5K1;Q9NSK3	Coronin-1B	CORO1B;DKFZp762I166	
23.54604	22.23344	20.08233	22.64425	21.56933	22.17605	24.0517	24.09864	23.59787	22.18863	23.32553	23.51424	24.9904	24.49259	24.87858	24.38614	25.11525	25.36005	24.99404	24.83364	0	1969800000	19	A0A024R5K3;E9PPW7;O00217;E9PKH6;Q53G17;E9PN51;F8W9K7;B4DYI3;H0YDT4	A0A024R5K3;E9PPW7;O00217;E9PKH6;Q53G17	"NADH dehydrogenase [ubiquinone] iron-sulfur protein 8, mitochondrial"	NDUFS8	
29.46076	29.4476	28.86038	28.54665	29.21917	29.6381	28.8524	29.00961	29.41072	28.91792	29.50066	29.70043	29.68736	29.63149	29.75463	29.63561	29.73883	30.01638	30.26159	30.16663	0	69023000000	415	P50454;A0A024R5K8;B4DN87;A8K259;E9PPV6;E9PR70;E9PKH2;E9PK86;E9PMI5;Q9NPA9;E9PNX1;E9PJH8;E9PIG2;E9PRS3;E9PQ34;H0YEP8;E9PLA6	P50454;A0A024R5K8;B4DN87;A8K259;E9PPV6;E9PR70;E9PKH2	Serpin H1	SERPINH1	
25.13508	25.22155	24.77249	25.15379	25.3397	25.53964	25.48148	25.65608	25.51214	25.87671	25.61723	26.27083	25.2874	25.0192	25.2803	25.03963	25.5412	25.23319	25.35178	25.36989	0	2827000000	90	P42785;A0A024R5L0;B7Z7Q6;E9PQB5;E9PL85;E9PQN3;E9PKN6;E9PIG4;E9PNF7;B3KR26;E9PNJ1;E9PL49;E9PLY4;E9PR42	P42785;A0A024R5L0;B7Z7Q6;E9PQB5;E9PL85;E9PQN3;E9PKN6;E9PIG4	Lysosomal Pro-X carboxypeptidase	PRCP	3N2Z
27.42654	27.09628	26.83689	27.35043	26.49489	26.97356	26.57519	26.41542	26.6013	26.04677	26.33204	26.03072	27.12682	27.36202	27.6758	27.55113	26.9927	26.6539	26.75315	26.94336	0	12019000000	141	A0A024R5L7;Q13492;A8K5U9;A0A024R5P1;B5BU72;E9PI56;E9PKP6;E9PLJ8;E9PK13;Q8N6B4;E9PJT1;E5RFU0;E5RHK9;E5RFC6;E5RK51;E5RIJ5;E5RGY9;E9PDG8;H0UI15;O60641;F5GWN7	A0A024R5L7;Q13492;A8K5U9;A0A024R5P1;B5BU72	Phosphatidylinositol-binding clathrin assembly protein	PICALM	
24.68266	24.49619	24.76522	24.84867	24.47964	24.2798	24.40171	24.32622	24.40048	24.59069	24.49826	24.50118	20.96324	20.98672	22.99632	21.44542	20.76542	22.05064	22.89596	24.62109	0	1040600000	41	Q15054;B7ZAQ5;A0A024R5M8;Q05BV7;B4DYZ7;Q569I8;H0YEX7;B4DMA6;Q8WUF6	Q15054;B7ZAQ5;A0A024R5M8;Q05BV7;B4DYZ7;Q569I8	DNA polymerase delta subunit 3	POLD3	1U76;3E0J
23.48726	21.4072	23.64108	23.6887	23.60942	23.04489	23.63644	23.98876	24.09386	22.97062	23.93265	23.22836	23.78227	23.649	23.74324	23.95411	24.01427	24.23389	24.30515	24.2712	0	1156300000	33	Q13153;A0A024R5P0;B3KNX7;A8KAN3;B7Z302;E9PM17;B7Z3K0;H0YCG5;E9PRP6;E9PMP2;E9PQW5;E9PKH9;H0YCM0;E9PJF8	Q13153;A0A024R5P0;B3KNX7;A8KAN3;B7Z302;E9PM17;B7Z3K0;H0YCG5	Serine/threonine-protein kinase PAK 1	PAK1	1F3M;1YHV;1YHW;1ZSG;2HY8;2QME;3DVP;3FXZ;3FY0;3Q4Z;3Q52;3Q53;4DAW;4EQC;4O0R;4O0T
26.1255	26.16298	25.54857	25.76913	25.66368	25.65343	25.74556	25.99425	26.12368	26.04585	26.06102	26.62352	22.65994	22.67381	22.14966	20.71974	22.31934	21.19083	22.03803	20.8827	0	1513300000	40	Q9NX55;A0A024R5Q1;J3QT56	Q9NX55;A0A024R5Q1	Huntingtin-interacting protein K	HYPK	
23.63467	23.39008	23.65698	23.75583	23.63865	23.99301	20.38612	20.43179	22.63458	23.46932	22.26412	22.47414	24.43721	24.1979	24.29109	24.4139	24.64036	24.49656	24.31091	24.28722	0	1472900000	16	A0A024R5Q6	A0A024R5Q6			
26.69511	26.17885	26.68953	26.6476	26.06712	26.22013	26.40866	26.27643	26.08024	25.16431	26.29476	26.45135	27.9969	28.26226	27.78669	27.9656	27.8543	27.68906	27.73867	27.37609	0	16172000000	154	P30520;A0A024R5Q7;B4E1L0;G3V5D8;G3V232;B3KTV4;Q8N142	P30520;A0A024R5Q7;B4E1L0	Adenylosuccinate synthetase isozyme 2	ADSS	2GJO;2V40
21.46573	20.73405	20.49872	20.51865	22.41001	20.30366	20.54689	20.54369	21.53408	22.97153	20.2739	22.93882	23.49448	23.50363	22.05287	22.28629	23.00154	21.44185	21.93996	22.6531	0	31045000	3	H0YNU2;H0YNW9;H0YMH7;Q05D32;A0A024R5Q8	H0YNU2;H0YNW9;H0YMH7;Q05D32;A0A024R5Q8	CTD small phosphatase-like protein 2	CTDSPL2	
24.13383	23.76537	24.01835	23.92406	23.44859	23.8532	23.59104	23.64053	23.36145	23.95989	23.59468	21.8863	24.32697	23.88353	22.15506	22.97403	22.15831	23.68955	22.04351	21.9269	0	614500000	25	P40818;A8K8N5;A0A024R5S4;Q05CD9;Q05DF5;B4DUC6;H0YM17;H0YLH2;H0YM47;H0YNL5;H0YKV1;B3KRK3	P40818;A8K8N5;A0A024R5S4;Q05CD9;Q05DF5	Ubiquitin carboxyl-terminal hydrolase 8;Ubiquitin carboxyl-terminal hydrolase	USP8	1WHB;2A9U;2GFO;2GWF;3N3K
26.72038	27.05734	26.88635	26.8169	26.90736	26.95149	26.95127	27.04239	27.165	26.80575	26.99399	27.35984	26.85222	26.57903	26.7415	26.92093	26.81726	26.88635	27.15132	27.20499	0	8339600000	126	O75822;A0A024R5S5;H0YLP3;H0YGJ7	O75822;A0A024R5S5	Eukaryotic translation initiation factor 3 subunit J	EIF3J	2KRB;3BPJ
25.00372	25.00971	24.58417	24.84475	24.50621	24.78626	24.46145	24.16592	24.74001	22.76717	24.36018	23.80351	24.0757	24.11728	24.39218	24.62834	22.06192	24.01529	21.88216	21.04925	0	1026900000	38	A0A024R5S9;H0Y8X6;P46934	A0A024R5S9;H0Y8X6;P46934	E3 ubiquitin-protein ligase;E3 ubiquitin-protein ligase NEDD4	NEDD4	2KPZ;2KQ0;2M3O;2XBB;2XBF;3B7Y;4BBN;4BE8;4N7F;4N7H
25.12183	25.41738	25.56506	25.53395	25.3536	25.54619	25.52385	25.89143	25.61857	23.24228	25.65559	25.83012	24.9574	25.05022	25.24285	25.57937	24.89027	25.39519	25.08058	24.73908	0	2652000000	48	P56211;A0A024R5U3;H3BMD8;H3BTD3;H3BQ52	P56211;A0A024R5U3;H3BMD8;H3BTD3;H3BQ52	cAMP-regulated phosphoprotein 19	ARPP19	
25.38729	24.58875	24.15561	24.41584	24.68217	24.80892	24.61375	24.43689	24.78162	24.52624	24.44171	24.64075	23.71754	24.26721	24.67557	24.51491	23.28715	23.56454	23.58405	23.43517	0	1222400000	42	Q9UHA3;B3KP47;A0A024R5U8;H3BMQ2;H3BPF2	Q9UHA3;B3KP47;A0A024R5U8	Probable ribosome biogenesis protein RLP24	RSL24D1	
22.59982	22.47875	22.71104	22.67502	21.70366	22.11085	22.32314	22.5869	22.4087	22.74694	21.86756	21.6641	26.9061	25.81034	26.82748	25.93463	27.40162	27.06343	26.7265	27.00721	0	6391500000	61	Q9UHS8;Q9Y6N5;Q53HW7;B2R7T6;A0A024R5X2;H3BNX3;H3BMS6;H3BR48;H3BV36;H3BNP9	Q9UHS8;Q9Y6N5;Q53HW7;B2R7T6;A0A024R5X2;H3BNX3;H3BMS6	"Sulfide:quinone oxidoreductase, mitochondrial"	SQRDL	
23.77435	23.47939	24.10741	24.36733	23.68859	23.69243	24.14538	23.99576	24.32485	23.12262	24.49869	24.75929	23.78167	23.66828	23.73758	23.70578	23.96129	24.09579	24.53718	24.31624	0	957590000	37	O76031;A0A024R5X7;Q9H072;H0YM48;H0YK07	O76031;A0A024R5X7;Q9H072	"ATP-dependent Clp protease ATP-binding subunit clpX-like, mitochondrial"	CLPX;DKFZp586J151	
